id,ref,date,period_id,journal_id,line_id/name,line_id/partner_id,line_id/account_id,line_id/date_maturity,line_id/debit,line_id/credit,line_id/amount_currency,line_id/currency_id,line_id/account_tax_id,line_id/tax_amount
account_move_open_1,Brought Forward 30 May 2014,2014-05-30,06/2014,Opening Entries Journal,Balance as of 30 May 2014,บริษัท ซีพี ออลล์ จำกัด (มหาชน),1130-01,2014-06-02,34546800,,,,,
,,,,,Balance as of 30 May 2014,บริษัท ซีพี ออลล์ จำกัด (มหาชน),1130-01,2014-06-03,8529750,,,,,
,,,,,Balance as of 30 May 2014,บริษัท ซีพี ออลล์ จำกัด (มหาชน),1130-01,2014-06-05,58362300,,,,,
,,,,,Balance as of 30 May 2014,บริษัท เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด,1130-01,2014-06-02,53345450,,,,,
,,,,,Balance as of 30 May 2014,บริษัท ซีพีเอฟ เทรดดิ้ง จำกัด,1130-01,2014-06-05,522850,,,,,
,,,,,Balance as of 30 May 2014,บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด (มหาชน),1130-01,2014-06-02,3085475,,,,,
,,,,,Balance as of 30 May 2014,บริษัท สยามดีซีเอ็ม  จำกัด,1130-01,2014-06-02,8782250,,,,,
,,,,,Balance as of 30 May 2014,โรงงาน ยาสูบ กระทรวงการคลัง (7),2120-01,2014-06-02,,25488000,,,,
,,,,,Balance as of 30 May 2014,โรงงาน ยาสูบ กระทรวงการคลัง (7),2120-01,2014-06-03,,28320000,,,,
,,,,,Balance as of 30 May 2014,โรงงาน ยาสูบ กระทรวงการคลัง (7),2120-01,2014-06-04,,24015000,,,,
,,,,,Balance as of 30 May 2014,โรงงาน ยาสูบ กระทรวงการคลัง (7),2120-01,2014-06-05,,33813000,,,,
,,,,,Balance as of 30 May 2014,โรงงาน ยาสูบ กระทรวงการคลัง (7),2120-01,2014-06-06,,27013500,,,,
,,,,,Balance as of 30 May 2014,โรงงาน ยาสูบ กระทรวงการคลัง (28),2120-01,2014-06-03,,56570,,,,
,,,,,Balance as of 30 May 2014,โรงงาน ยาสูบ กระทรวงการคลัง (28),2120-01,2014-06-05,,14925,,,,
,,,,,Balance as of 30 May 2014,โรงงาน ยาสูบ กระทรวงการคลัง (28),2120-01,2014-06-09,,6860,,,,
,,,,,Balance as of 30 May 2014,โรงงาน ยาสูบ กระทรวงการคลัง (28),2120-01,2014-06-11,,2985,,,,
,,,,,Balance as of 30 May 2014,โรงงาน ยาสูบ กระทรวงการคลัง (28),2120-01,2014-06-12,,37092.5,,,,
,,,,,Balance as of 30 May 2014,โรงงาน ยาสูบ กระทรวงการคลัง (28),2120-01,2014-06-13,,22830,,,,
,,,,,Balance as of 30 May 2014,โรงงาน ยาสูบ กระทรวงการคลัง (28),2120-01,2014-06-18,,29850,,,,
,,,,,Balance as of 30 May 2014,โรงงาน ยาสูบ กระทรวงการคลัง (28),2120-01,2014-06-19,,5970,,,,
,,,,,Balance as of 30 May 2014,โรงงาน ยาสูบ กระทรวงการคลัง (28),2120-01,2014-06-24,,49605,,,,
,,,,,Balance as of 30 May 2014,โรงงาน ยาสูบ กระทรวงการคลัง (28),2120-01,2014-06-26,,5970,,,,
,,,,,Balance as of 30 May 2014,โรงงาน ยาสูบ กระทรวงการคลัง (28),2120-01,2014-06-27,,44775,,,,
,,,,,Balance as of 30 May 2014,,9999-99,,,28247942.5,,,,
